"name";"title";"description";"url_page";"api_url"
"corporate-wordpress";"Корпоративные сайты на Wordpress";"";"https://preprod.softmg.ru/development/corporate/wordpress/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/corporate/wordpress"
"corporate-bitrix";"Разработка корпоративного сайта на Bitrix";"";"https://preprod.softmg.ru/development/corporate/bitrix/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/corporate/bitrix"
"shop-1c-bitrix";"Интернет-магазин на 1С Битрикс";"";"https://preprod.softmg.ru/development/shop/1c-bitrix/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/shop/1c-bitrix"
"shop-virtuemart";"Интернет-магазин на Virtuemart";"";"https://preprod.softmg.ru/development/shop/virtuemart/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/shop/virtuemart"
"shop-wordpress";"Интернет-магазин на WordPress";"";"https://preprod.softmg.ru/development/shop/wordpress/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/shop/wordpress"
"shop-opencart";"Создание сайтов на OpenCart";"";"https://preprod.softmg.ru/development/shop/opencart/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/shop/opencart"
"development-umicms";"Создание сайта на UMI.CMS";"";"https://preprod.softmg.ru/development/umicms/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/umicms"
"development-shop-magento";"Разработка интернет-магазин на Magento";"";"https://preprod.softmg.ru/development/shop/magento/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/shop/magento"
"development-shop-ubercart";"Создание сайта на Ubercart";"";"https://preprod.softmg.ru/development/shop/ubercart/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/shop/ubercart"
"development-shop-prestashop";"Разработка интернет-магазинов на CMS PrestaShop";"";"https://preprod.softmg.ru/development/shop/prestashop/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/shop/prestashop"
"development-shop-oscommerce";"Интернет-магазин на osCommerce";"";"https://preprod.softmg.ru/development/shop/oscommerce/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/shop/oscommerce"
"development-netcat";"Создание сайта на NetCat";"";"https://preprod.softmg.ru/development/netcat/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/netcat"
"shop-shopscript";"Создание сайтов на Shop Script";"";"https://preprod.softmg.ru/development/shop/shopscript/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/shop/shopscript"
"shop-pod-kluch";"Интернет-магазин под ключ";"";"https://preprod.softmg.ru/development/shop/pod-kluch/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/shop/pod-kluch"
"card-bitrix";"Сайт-визитка на Bitrix";"";"https://preprod.softmg.ru/development/card/bitrix/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/card/bitrix"
"development-drupal";"Разработка сайтов на Drupal";"";"https://preprod.softmg.ru/development/drupal/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/drupal"
"development-joomla";"Разработка сайтов на Joomla";"";"https://preprod.softmg.ru/development/joomla/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/joomla"
"development-wordpress";"Разработка сайтов на Wordpress";"";"https://preprod.softmg.ru/development/wordpress/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/development/wordpress"
"software-product-development";"Разработка программных продуктов: решения под ключ";"";"https://preprod.softmg.ru/software-product-development/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/software-product-development"
"razrabotka-po-django";"Разработка на Django";"";"https://preprod.softmg.ru/razrabotka-po/django/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/razrabotka-po/django"
"razrabotka-po-python";"Разработка на Python";"";"https://preprod.softmg.ru/razrabotka-po/python/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/razrabotka-po/python"
"veb-razrabotka-python";"Веб разработка на Python";"";"https://preprod.softmg.ru/razrabotka-po/veb-razrabotka-python/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/razrabotka-po/veb-razrabotka-python"
"razrabotka-po-golang";"Разработка программного обеспечения на Golang";"";"https://preprod.softmg.ru/razrabotka-po/golang/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/razrabotka-po/golang"
"razrabotka-po-net";"Разработка на .net";"";"https://preprod.softmg.ru/razrabotka-po/net/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/razrabotka-po/net"
"unity";"Разработка на Unity";"";"https://preprod.softmg.ru/unity/";"https://preprod.softmg.ru/api/v2/offers/slug?url=/unity"
